Modelo,Tipo,k,Macro_Precision,Macro_Recall,Macro_F1,Micro_Precision,Micro_Recall,Micro_F1,TP,FP,FN
API Gemini,Full Level,3,0.05998209489704566,0.0810078015091444,0.06486478805189638,0.060179640718562875,0.0693103448275862,0.06442307692307692,201,3139,2699
Agregado_Borda,Full Level,3,0.1859146523425843,0.22708892867800656,0.19324303966201906,0.1859146523425843,0.21482758620689654,0.19932810750279956,623,2728,2277
Agregado_Pluralidade,Full Level,3,0.17964786630856458,0.21539945432067187,0.18465853752335398,0.1796478663085646,0.20758620689655172,0.19260918253079506,602,2749,2298
API Maritalk,Full Level,4,0.10750522232169502,0.1843735345525856,0.1282987826855329,0.10834652793485637,0.16517241379310346,0.1308564403769977,479,3942,2421
API Deep-Seek,Full Level,4,0.14704565801253358,0.22503730229782154,0.16893296696340565,0.14779661016949153,0.22551724137931034,0.1785665529010239,654,3771,2246
API GPT-Mini,Full Level,4,0.12130707251566697,0.19377477938355286,0.14115712696733287,0.12146385271665919,0.18655172413793103,0.14713081316290452,541,3913,2359
API GPT‑4o,Full Level,4,0.12451507012831989,0.1820650552074008,0.14086665348975105,0.12463976945244956,0.17896551724137932,0.14694224235560588,519,3645,2381
API Gemini,Full Level,4,0.06348851089227095,0.10307584090037089,0.07468572410380828,0.06381018198571757,0.09551724137931035,0.07650876950697418,277,4064,2623
Agregado_Borda,Full Level,4,0.1609221128021486,0.2580594278893294,0.18801055703472894,0.1607342735616745,0.24758620689655172,0.19492330663770868,718,3749,2182
Agregado_Pluralidade,Full Level,4,0.15868397493285585,0.25005435477682564,0.18392435675336302,0.1584956346541303,0.24413793103448275,0.19220849735306095,708,3759,2192
API Maritalk,Full Level,5,0.09412115786332438,0.19427463017436158,0.11996866159802597,0.09465171843411138,0.17758620689655172,0.12348639251888263,515,4926,2385
API Deep-Seek,Full Level,5,0.13070725156669652,0.23744724389308097,0.16093918018716585,0.13193403298350825,0.24275862068965517,0.17095677513356,704,4632,2196
API GPT-Mini,Full Level,5,0.10868397493285586,0.2034446007588353,0.13440747554444957,0.10829921845924823,0.2006896551724138,0.1406816533720087,582,4792,2318
API GPT‑4o,Full Level,5,0.12088928678006562,0.19094406786886645,0.14159755493685663,0.1211530125704378,0.19275862068965519,0.14878892733564014,559,4055,2341
API Gemini,Full Level,5,0.06447329155475978,0.11550709809438545,0.0792801796830445,0.06532161406312426,0.11275862068965517,0.08272198330381988,327,4679,2573
Agregado_Borda,Full Level,5,0.1405550581915846,0.28034488638785865,0.17800952653235555,0.14027230383375133,0.27,0.18462626738976656,783,4799,2117
Agregado_Pluralidade,Full Level,5,0.14109221128021487,0.27472929189580936,0.1769466333924705,0.14080974561089216,0.2710344827586207,0.18533364772459326,786,4796,2114
API Maritalk,Full Level,6,0.08619814980602805,0.19937758451634904,0.11408508431785065,0.08627132412672624,0.18310344827586206,0.11728326891220321,531,5624,2369
